"HITID","Food","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"26YFL6VCPWZ9S1CWAKM107SN5MB8NP","carrot and orange juice","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:16:04 UTC 2012"
"2NCFBNFSVGULGH85KSXNO1FS5WG6KW","beer","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:08:09 UTC 2012"
"29BMOFXRDS4IDFDY5JOJNM11CB0WTT","bread","A2HAIY6HUOISQY","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 17:22:08 UTC 2012"
"2TUF0CP5KXPTJ1HIPU74XM7N0FOYXD","azuca xD","A2HM35CWB7IIFM","Unknown","A3NU1SQPI1NXY4","Unknown","Yes","Unknown ","Tue Sep 11 18:14:14 UTC 2012"
"2MCFJ51Y7QEO0TXQKX3S1MOFZ0VEB5","water","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:08:27 UTC 2012"
"2K839Z0B6UTO773ENOKVZKGPY1ENYI","carrot juice","A1K9WP8Q74E9G2","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 17:10:32 UTC 2012"
"2I0NMHGYQ4J3OOA63BDFNOYYK2JM9S","light ranch dressing","A2HAIY6HUOISQY","Fat, Oil and Sweets","A2HM35CWB7IIFM","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:08:00 UTC 2012"
"267SI2KYEPLSQL4KDIXWR3OAJZWNTT","onion","A2HAIY6HUOISQY","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:01:33 UTC 2012"
"21GEPLSP75KLNKVJVK1HYEQVL0MYS5","pasta with olive oil and vegetables","A2HAIY6HUOISQY","Cereal Grains and Pasta","A2UFD1I8ZO1V4G","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 18:12:53 UTC 2012"
"2WTNFSVGULF3AJRWYJ71NS3N0W1M83","mushrooms","A2HM35CWB7IIFM","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:05:49 UTC 2012"
"2CIFK0COK2JE206PCG0LZW6O1JUKR8","otras","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 17:16:53 UTC 2012"
"2C18EBDPGFL6WQOWR5INLWIOXAAH2M","coffee","A1K9WP8Q74E9G2","Beverages","A1KAXCLAH6UVMS","Beverages","Yes","Beverages","Tue Sep 11 17:33:02 UTC 2012"
"2GZHRRLFQ0ONO9QHTG8OHEGRDGOQH9","coffee","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:07:57 UTC 2012"
"2VU1PC6SK9RJ9JNZAV5HUAAPOX6Q2R","coffee","A2FCGEU5RTEWG8","Beverages","A2HAIY6HUOISQY","Beverages","Yes","Beverages","Tue Sep 11 17:48:15 UTC 2012"
"2K9Y0LWSBRI8J8A2QQ08RHSTNKL0CC","bred with butter","A2HM35CWB7IIFM","Grains","A2V3P1XE33NYC3","Grains","Yes","Grains","Tue Sep 11 17:20:29 UTC 2012"
"20JLY58B727M1WFFCD41EYFSXOLU9R","juju","A1IV0802ICNA0A","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 17:39:05 UTC 2012"
"2XBP9RA7S5WM2K8YKK678JMHNJ0TYP","chicken breast","A2ELWPBL46UA0E","Meat and Protein","A2HAIY6HUOISQY","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:58:18 UTC 2012"
"2I7C6SK9RJ85PDHZ6DDAIPMOQZO4SR","water","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:36:36 UTC 2012"
"2H9YNJ92NJKM1JAMBPLH6W2GVYS7CK","tilapia fillets","A2HM35CWB7IIFM","Meat and Protein","A2UFD1I8ZO1V4G","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:45:26 UTC 2012"
"21UJ011K274J8NJQO2S8V46UZOUBD9","otro","A2HM35CWB7IIFM","Unknown","A3NU1SQPI1NXY4","Unknown","Yes","Unknown ","Tue Sep 11 18:05:37 UTC 2012"
"2ZQIUB2YU98JI6SL3ZC0NBJ9KXU9LE","salad","A2V3P1XE33NYC3","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:20:33 UTC 2012"
"2HUOK2JE1M7PLY8LJSXO7AC06UHVOW","passion tea lemonade shaken (Starbucks)","A17B7QTKWFQ5PQ","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 18:21:36 UTC 2012"
"289LFQ0ONNVRIFJHG55GZB76P4RKTL","fdfdf","A2HM35CWB7IIFM","Unknown","A2V3P1XE33NYC3","Unknown","Yes","Unknown ","Tue Sep 11 17:21:38 UTC 2012"
"2IANQQ7Q670524JCFNS21QC1ZVXVBR","azuca xD","A2HM35CWB7IIFM","Unknown","A2UFD1I8ZO1V4G","Unknown","Yes","Unknown ","Tue Sep 11 18:32:02 UTC 2012"
"24SB6BFMFFOYZWS1LF6DOESC20FKX4","example","A2BERTY629PZDT","Unknown","A2V3P1XE33NYC3","Unknown","Yes","Unknown ","Tue Sep 11 17:22:37 UTC 2012"
"2FE2GTP9RA7S6AL1Y5PSWF70LVZQVZ","piece of cake","A2HM35CWB7IIFM","Fat, Oil and Sweets","A53VNQRRFQ785","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:20:44 UTC 2012"
"2ZIOUQIHPCGJ3R11GZN55H0JRYA06K","mama","A2HM35CWB7IIFM","Unknown","A2UFD1I8ZO1V4G","Unknown","Yes","Unknown ","Tue Sep 11 18:07:13 UTC 2012"
"2A79RA7S5WM17NXSGBY0RMHLCRAUZ7","mashed potatoes","A1KAXCLAH6UVMS","Vegetables","A3NU1SQPI1NXY4","Vegetables","Yes","Vegetables","Tue Sep 11 18:33:55 UTC 2012"
"2CYULF395SW6OU0FKZEYVJBYHAXDRO","potatoes with blue cheese","A1KAXCLAH6UVMS","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:28:08 UTC 2012"
"2WVEY5COW0LGSD284N6LK6VNW8EW52","cereal","A1KAXCLAH6UVMS","Cereal Grains and Pasta","A2FCGEU5RTEWG8","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 17:46:16 UTC 2012"
"2J4IKMN9U8P9ZH7TOSOIBSUYKVITCH","sugar","A1KAXCLAH6UVMS","Fat, Oil and Sweets","A2HAIY6HUOISQY","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:21:17 UTC 2012"
"2Q9NDWIOV1S7T12DLCL1BYDZAWQIXR","carrots","A1KAXCLAH6UVMS","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:02:56 UTC 2012"
"2P546UXFCD45YQDTF9JN1KIN52YTVG","mini chocolate chips","A1KAXCLAH6UVMS","Fat, Oil and Sweets","A6WUFL0T08JBZ","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:13:41 UTC 2012"
"2GXYQS1CSTMOGBQDK09C9EYDP61MPN","seven up","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:15:44 UTC 2012"
"2J5JKM05BMJTVVXWUCKPHRA7UEEIDP","fried rice woktown","A2HM35CWB7IIFM","Grains","A3NU1SQPI1NXY4","Grains","Yes","Grains","Tue Sep 11 18:26:32 UTC 2012"
"2UY67D1X3V0FLEBOCYAE9M7PMTRJC2","turkey","A2HM35CWB7IIFM","Meat and Protein","A53VNQRRFQ785","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:11:50 UTC 2012"
"2VVD2AC9KSSZWBW2I0WU2KQO0P6I0X","bell pepper","A2HM35CWB7IIFM","Vegetables","A2UFD1I8ZO1V4G","Vegetables","Yes","Vegetables","Tue Sep 11 17:39:09 UTC 2012"
"21K74J79KQW62MM4YQOFKD45ZLWJHB","protein shake","A2HM35CWB7IIFM","Meat and Protein","A3NU1SQPI1NXY4","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:01:10 UTC 2012"
"24BBJ3MMDX5FQLM6UG8BHMDXQRGDZH","tortillas","A2HM35CWB7IIFM","Grains","A53VNQRRFQ785","Grains","Yes","Grains","Tue Sep 11 17:06:03 UTC 2012"
"22XQ0ONNVRH1LVN96CIBF6NVBU2VMH","chicken","A2HAIY6HUOISQY","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:08:29 UTC 2012"
"2S3YHVI44OS2LZT85J5Z0BAP7KIY4X","2 butter toast","A2HM35CWB7IIFM","Grains","A53VNQRRFQ785","Grains","Yes","Grains","Tue Sep 11 17:24:04 UTC 2012"
"2YATLB3L0FBJAWNBBAARMVE5TY9WKN","salad","A2HAIY6HUOISQY","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:28:42 UTC 2012"
"2562GMMEGOOGR6BMYE1AASEIW3DAAC","taco al pastor","A1IV0802ICNA0A","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:39:46 UTC 2012"
"27QH88MQU6L5PPUCAXIX54AILOOUB1","onion","A2BERTY629PZDT","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:11:20 UTC 2012"
"2UHKPFE4EGDHE015D499VZW6JNH8I9","coke","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:06:11 UTC 2012"
"28R8D8J3VE7WT6SNQ873UCK8C2KIYX","coffee","A1K9WP8Q74E9G2","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:11:01 UTC 2012"
"2Y48JIA0RYNJAGMJCIR5JMJTWQH16P","bread","A1IV0802ICNA0A","Grains","A53VNQRRFQ785","Grains","Yes","Grains","Tue Sep 11 17:58:44 UTC 2012"
"2808IUB2YU98KVRTD7UL8FBJBR68KK","coffee","A1K9WP8Q74E9G2","Beverages","A2V3P1XE33NYC3","Beverages","Yes","Beverages","Tue Sep 11 17:22:26 UTC 2012"
"2K6H1XERSQV675KP9EK3PVWAXT0086","jaja","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 18:43:47 UTC 2012"
"2UHXR24SMEZZ30HKEJ0UGP9Y5HC1IJ","beer","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:13:33 UTC 2012"
"2QKHECWA6X3YPQBFS8G5SXPTKW0LMO","gravy chicken mashed potatoes","A2HM35CWB7IIFM","Meat and Protein","A2UFD1I8ZO1V4G","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:45:40 UTC 2012"
"2K9Y0LWSBRI8J8A2QQ08RHSTNKLC0O","whole grain cookies","A2HM35CWB7IIFM","Fat, Oil and Sweets","A3NU1SQPI1NXY4","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 18:28:50 UTC 2012"
"2G151RYQM3ELR1LCI4KG2FTEW27Z0A","red lentil soup","A1IV0802ICNA0A","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:38:14 UTC 2012"
"21UCVLL3CA33NV9PI039VQU7Z61Z9M","coffee","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:34:26 UTC 2012"
"22GHVI44OS2KM87DFAQSJAP5DAI5Z1","coffee","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:10:50 UTC 2012"
"2V99Y8TNKIMZT04K7DJ2WM0PI4XW9T","coke","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:39:53 UTC 2012"
"2BQLZ6R70G5RAMC8BZMEFWSSVWG8O4","tomatoes","A2HM35CWB7IIFM","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:25:05 UTC 2012"
"28YNTBJ3MMDX6TO7F2TKPB9MF65XBW","basmati rice","A2HM35CWB7IIFM","Grains","A53VNQRRFQ785","Grains","Yes","Grains","Tue Sep 11 17:10:26 UTC 2012"
"2JZECWA6X3YODQE04LWK5PTIPR0MNR","taco arrachera","A2HM35CWB7IIFM","Meat and Protein","A3NU1SQPI1NXY4","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:38:48 UTC 2012"
"20P9KQW618N478WF49V55CETPMANLQ","basmati rice with black beans","A2HM35CWB7IIFM","Grains","A3NU1SQPI1NXY4","Grains","Yes","Grains","Tue Sep 11 18:34:20 UTC 2012"
"2WIOHOVR14IXL21L1Y8EKWA6ZCG67Q","jaja","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 18:31:35 UTC 2012"
"2QKNJKM05BMJU8GYOY7TX9RA91NHCV","picana","A1IV0802ICNA0A","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:34:38 UTC 2012"
"21405BMJTUHYXGFTH5IAFS5WOAOLGG","Parmesan cheese omelet with peach salsa","A2HM35CWB7IIFM","Meat and Protein","A3NU1SQPI1NXY4","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:43:49 UTC 2012"
"255NVRH1KHO9FUQBZ2EVHLKW965QZZ","tacos al pastor","A2HM35CWB7IIFM","Meat and Protein","A2UFD1I8ZO1V4G","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:36:35 UTC 2012"
"2FK4E6AUBXHWTV6FD50VJZWDTUG1XJ","dried cherries","A2HM35CWB7IIFM","Fruits","A6WUFL0T08JBZ","Fruits","Yes","Fruits","Tue Sep 11 17:17:34 UTC 2012"
"2MBYMNCWYB49GNRSKDO19JONU2NMQE","cesar salad","A2HM35CWB7IIFM","Vegetables","A2UFD1I8ZO1V4G","Vegetables","Yes","Vegetables","Tue Sep 11 18:05:49 UTC 2012"
"26AI2KYEPLSP8JJLE2NJBOAHSN8OU0","nuts and dried fruits","A2HM35CWB7IIFM","Fruits","A3NU1SQPI1NXY4","Fruits","Yes","Fruits","Tue Sep 11 17:58:05 UTC 2012"
"2F8S1CSTMOFXSRR4A8SE6DNXLO4ORW","sprite","A1K9WP8Q74E9G2","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:34:19 UTC 2012"
"2UJX3V0FK0COLGIETIYPSK9LT5OGND","hookah","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 18:34:16 UTC 2012"
"2TATMOFXRDS4JQ0EQ9EXRFM13JKSVQ","omelet","A2HAIY6HUOISQY","Meat and Protein","A2UFD1I8ZO1V4G","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:37:51 UTC 2012"
"23WGOOGQSCM6JO92KA9U2U00QZ3FF7","spinach","A2HM35CWB7IIFM","Vegetables","A2UFD1I8ZO1V4G","Vegetables","Yes","Vegetables","Tue Sep 11 18:10:59 UTC 2012"
"2YXL42J1LY58CL17EW9GNKHD3FGP4V","orange juice","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:33:23 UTC 2012"
"28P0G5R98D8J49D7OOJTVYCG5VUDT1","Greek dressing","A2HAIY6HUOISQY","Fat, Oil and Sweets","A2HM35CWB7IIFM","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 17:15:10 UTC 2012"
"22QI9NZW6HEZ72D4ISYTG69GWVJXNL","cheese and red tomato sauce","A2HM35CWB7IIFM","Dairy","A2UFD1I8ZO1V4G","Dairy","Yes","Dairy","Tue Sep 11 18:39:36 UTC 2012"
"2K5AB6BFMFFOZCHTTPAFLGESE99WJO","coke cola","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:52:00 UTC 2012"
"24C8LZ6R70G5SN7D0FUVM7WSU267N2","beer","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:35:26 UTC 2012"
"2LISPW1INMHGZ43JVJ1BEBFMHO74H6","peas","A2FCGEU5RTEWG8","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:51:38 UTC 2012"
"2LHMAZHHRRLFRENNFRIH9KHOBNYMD9","water","A2HM35CWB7IIFM","Beverages","A2V3P1XE33NYC3","Beverages","Yes","Beverages","Tue Sep 11 17:23:25 UTC 2012"
"20WNLVWJ5OPB1CUGR4PM4B7ERICU20","pumpkin","A2HM35CWB7IIFM","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:36:00 UTC 2012"
"2TYW40SPW1INNVFYI0A3VAB6DO51EA","tortillas","A2HAIY6HUOISQY","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 17:57:17 UTC 2012"
"2IBHV8ER9Y8TOYHMROD5SFHS4X4R4P","Soya milk","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:19:59 UTC 2012"
"2ZS0RYNJ92NJL0Z53IAT2HYW4PCA56","protein powder","A2HAIY6HUOISQY","Meat and Protein","A53VNQRRFQ785","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:16:47 UTC 2012"
"2JGU98JHSTLB4ZZF3F0IWBJEL0WQET","protein fruit smoothie","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:13:22 UTC 2012"
"2VTDPGFL6VCPXD8RF9NIWV1S915K5U","jas","A1KAXCLAH6UVMS","Unknown","A2HAIY6HUOISQY","Unknown","Yes","Unknown ","Tue Sep 11 17:41:11 UTC 2012"
"20JLY58B727M1WFFCD41EYFSXON9U8","salad with corn","A1K9WP8Q74E9G2","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:35:32 UTC 2012"
"27JSNQQ7Q6706FPK4JI1ATQC363UA6","salad","A2HM35CWB7IIFM","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 17:53:57 UTC 2012"
"2U78PJWKUDD8Y0A3IZ0Z8B6UVXNK9K","coffee","A53VNQRRFQ785","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:25:06 UTC 2012"
"2MFH0JPPSI2KZSOLKLY5SLM6YSLIOM","prosciutto","A1K9WP8Q74E9G2","Meat and Protein","A6WUFL0T08JBZ","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 17:30:01 UTC 2012"
"2AKD5NQYN5F3REIGXPPMVCWYDDS7BD","red wine","A53VNQRRFQ785","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 18:16:32 UTC 2012"
"27IJG5TYMNCWZP3975JS0HX13S6MIB","coke","A1IV0802ICNA0A","Beverages","A2HAIY6HUOISQY","Beverages","Yes","Beverages","Tue Sep 11 17:46:50 UTC 2012"
"2WLQ0JG5TYMNDAXBW5690SSHZAJKGC","cherry yoghurt","A2FCGEU5RTEWG8","Dairy","A53VNQRRFQ785","Dairy","Yes","Dairy","Tue Sep 11 17:58:11 UTC 2012"
"2Z7DOBDDP8PJXYTD54OMJ3Q3B8IE3E","pasta soup","A2BERTY629PZDT","Cereal Grains and Pasta","A2HM35CWB7IIFM","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 17:42:56 UTC 2012"
"2M38I9NZW6HE0KNEWMN71869I34WMS","cranberry sesame seeds cheese water  salads lentils potato croutons","A1IV0802ICNA0A","Vegetables","A2HAIY6HUOISQY","Vegetables","Yes","Vegetables","Tue Sep 11 17:58:05 UTC 2012"
"29TRI8IUB2YUAMIHKPCBBL0FDSSI6Y","slice of bread","A2HM35CWB7IIFM","Grains","A2UFD1I8ZO1V4G","Grains","Yes","Grains","Tue Sep 11 17:55:15 UTC 2012"
"29DQ8H88MQU6MJNBN891ZXX4CR29SS","cheese","A2ELWPBL46UA0E","Dairy","A53VNQRRFQ785","Dairy","Yes","Dairy","Tue Sep 11 18:05:49 UTC 2012"
"2QKNJKM05BMJU8GYOY7TX9RA91OCHR","water","A1IV0802ICNA0A","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 18:19:09 UTC 2012"
"21E4ZMAZHHRRMTP0GJEVZH1KJXQKBU","cachapa","A2BERTY629PZDT","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 18:25:27 UTC 2012"
"2WT0HFL42J1LZJ7BZYYM8IGFMQVM1J","bread","A2HM35CWB7IIFM","Grains","A53VNQRRFQ785","Grains","Yes","Grains","Tue Sep 11 17:26:47 UTC 2012"
"2OZ57DZKPFE4FUCH5IT5T8I9P8F4EQ","grapes strawberries kiwi","A1IV0802ICNA0A","Fruits","A6WUFL0T08JBZ","Fruits","Yes","Fruits","Tue Sep 11 18:19:16 UTC 2012"
"20I11K274J79L4V6T4E4EUXFEMNFDW","coke","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:34:59 UTC 2012"
"2T6K2JE1M7PKLNKRO2FZIC04N8EPWG","otro","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 17:28:11 UTC 2012"
"21GEPLSP75KLNKVJVK1HYEQVL0MSYZ","coffee","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:35:16 UTC 2012"
"295TL0XULRGNUPI3EI4XDFP7PFKP3A","salad","A2BERTY629PZDT","Vegetables","A2HAIY6HUOISQY","Vegetables","Yes","Vegetables","Tue Sep 11 17:43:40 UTC 2012"
"234EGOOGQSCM7W9AUO5I2UU02X8EE5","water","A53VNQRRFQ785","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:16:05 UTC 2012"
"2H6UQIHPCGJ2EG0OVSWXP0JPR1171U","poop","A1IV0802ICNA0A","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 18:24:35 UTC 2012"
"2P0UB2YU98JHT7KBVHRFJJ9IQK1MA7","tiramisu","A2HM35CWB7IIFM","Fat, Oil and Sweets","A2UFD1I8ZO1V4G","Fat, Oil and Sweets","Yes","Fat, Oil and Sweets","Tue Sep 11 18:30:42 UTC 2012"
"2LW6AUBXHWSH8TK91R2Z4DRLZERZ35","zucchini","A2HM35CWB7IIFM","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 17:20:13 UTC 2012"
"2L13NAB6BFMFG2XYAPSTRFDGG1VHU6","beer","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:16:36 UTC 2012"
"2LKJ1LY58B7280ZI8BBHL16YH1E7SE","beer","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:21:28 UTC 2012"
"2N633FDEY5COXEKGJVU8KRFLEFE1SB","carrots","A2ELWPBL46UA0E","Vegetables","A2HAIY6HUOISQY","Vegetables","Yes","Vegetables","Tue Sep 11 17:28:24 UTC 2012"
"2IJK274J79KQXK08F0XU5FCD6EFHF6","french toast","A2HAIY6HUOISQY","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 18:25:54 UTC 2012"
"2DDOX7H57DZKQTD46C4HLM25NH1A0L","spaguetti with tomato sauce and mozzarella","A2BERTY629PZDT","Cereal Grains and Pasta","A3NU1SQPI1NXY4","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 17:56:01 UTC 2012"
"2EKQ45UUKQOYH1HWTJJ8WG012GADVH","cachapa and cheese","A2HAIY6HUOISQY","Dairy","A3NU1SQPI1NXY4","Dairy","Yes","Dairy","Tue Sep 11 18:20:11 UTC 2012"
"2N6Q1SNQQ7Q68E41IG3NZ12TSLIS8K","lasagna","A2UFD1I8ZO1V4G","Cereal Grains and Pasta","A53VNQRRFQ785","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 17:40:37 UTC 2012"
"2ZKKYEPLSP75LZL6OFUOIHQES41QW9","Brown bread","A1KAXCLAH6UVMS","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 17:22:28 UTC 2012"
"21Z1Q6SVQ8H890PUYHWOJVCI30G4NF","coffee","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:19:21 UTC 2012"
"2PWR9Y8TNKIM06L5CB8SAOM0RPCV8S","tavola calda","A1KAXCLAH6UVMS","Unknown","A2BERTY629PZDT","Unknown","Yes","Unknown ","Tue Sep 11 17:47:24 UTC 2012"
"24DP3TVOK5UFKJ0YZM5O7FYQUAU63L","aja","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 17:17:32 UTC 2012"
"21062NJQ21720N8Q922KTCVED3JWO7","banana","A2HM35CWB7IIFM","Fruits","A6WUFL0T08JBZ","Fruits","Yes","Fruits","Tue Sep 11 17:39:10 UTC 2012"
"2RB2D5NQYN5F44ZJ81KYUNCW0KNA6M","cucumbers onions","A53VNQRRFQ785","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 17:58:31 UTC 2012"
"20DCNHMVHVKCKE01CYY4R79KS5P42O","coffee","A2FCGEU5RTEWG8","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 18:02:20 UTC 2012"
"2DNXH0JPPSI2LCDPDOG7DKLM851NHJ","small yellow tomato","A2ELWPBL46UA0E","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 18:00:12 UTC 2012"
"289LFQ0ONNVRIFJHG55GZB76P4SKTM","cream cheese","A53VNQRRFQ785","Dairy","A6WUFL0T08JBZ","Dairy","Yes","Dairy","Tue Sep 11 17:22:19 UTC 2012"
"2DJINMHGYQ4J419BY76MNFOY0RB8LN","portobello mushroom","A1IV0802ICNA0A","Vegetables","A53VNQRRFQ785","Vegetables","Yes","Vegetables","Tue Sep 11 17:45:59 UTC 2012"
"2S4JTUHYW2GTQNQAZOWWU169017KPH","coffee coffe","A1KAXCLAH6UVMS","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 17:37:11 UTC 2012"
"27GN5F3Q0JG5UCLN4SPBC9F9U1BCGS","olives cheese bread","A1K9WP8Q74E9G2","Grains","A1KAXCLAH6UVMS","Grains","Yes","Grains","Tue Sep 11 17:36:53 UTC 2012"
"2BZYW2GTP9RA864WEXX96SOF991OT9","coffee","A2HAIY6HUOISQY","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:30:13 UTC 2012"
